,Trek,Cost,Time,Trip Grade,Max_Altitude,Accomodation,Best_Travel_Time,Contact or Book your Trip
332,Helambu Trek,"NPR 1,04,500", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
333,Annapurna Base Camp Trek,"NPR 2,01,000", 11 Days,Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
334,Everest Base Camp Trek for Youths,"NPR 2,34,500", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
335,Everest Base Camp Short Trek,"NPR 2,01,000", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
336,Everest Base Camp Trek,"NPR 2,01,000", 16 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
337,Annapurna Circuit Trek,"NPR 2,01,000", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
338,Everest Base Camp Luxury Lodge Trek,"NPR 2,01,000", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
339,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass,"NPR 2,01,000", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
340,Upper Mustang Trek,"NPR 2,01,000", 17 Days,Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
341,Everest Advanced Base Camp Trek from Tibet,"NPR 2,01,000", 18 Days,Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
342,Gokyo Lakes and Gokyo Ri Trek,"NPR 2,01,000", 14 Days,Demanding,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
343,Mardi Himal Trek,"NPR 2,01,000", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
344,Manaslu Circuit Trek,"NPR 2,01,000", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
345,Langtang Valley Trek,"NPR 2,01,000", 11 Days,Demanding,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
346,Annapurna Sanctuary Trek,"NPR 2,01,000", 14 Days,Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
347,Rara Lake Trek,"NPR 2,01,000", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
348,Everest High Passes Trek,"NPR 2,01,000", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
349,Kanchenjunga Circuit Trek,"NPR 2,01,000", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
350,Everest View Trek,"NPR 2,01,000", 12 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
351,Tsum Valley Trek,"NPR 2,01,000", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
352,The Royal Trek,"NPR 2,01,000", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
353,Makalu Base Camp Trek,"NPR 2,01,000", 22 Days,Demanding,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
354,"Langtang, Gosainkunda and Helambu Trek","NPR 2,01,000", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
355,Nar Phu Valley Trek,"NPR 2,01,000", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
356,Annapurna Circle Trek,"NPR 2,01,000", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
357,Everest Kangshung Face Trek,"NPR 2,01,000", 21 Days,Demanding,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
358,Tsum Valley and Manaslu Trek,"NPR 2,01,000", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
359,Khopra Ridge Community Trek ,"NPR 2,01,000", 13 Days,Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
360,Nepal Experience Tour,"NPR 2,01,000", 12 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
361,Annapurna Circuit Trek with Tilicho Lake and Poon Hill,"NPR 2,01,000", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
362,Annapurna With Tilicho Lake Trek,"NPR 2,01,000", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
363,Langtang Valley Trek with Ganja la Pass,"NPR 2,01,000", 14 Days,Demanding,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
364,Tamang Heritage Trek,"NPR 2,01,000", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
365,Manaslu and Annapurna Trek with Tilicho Lake,"NPR 2,01,000", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
366,Nepal Trekking and Everest Himalaya Heli Tour,"NPR 2,01,000", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
367,Nepal Hiking and Culture Tour,"NPR 2,01,000", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
368,Annapurna Sunrise and Everest View Trek,"NPR 2,01,000", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
369,Tenzing Hillary Everest Marathon,"NPR 2,01,000", 20 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
370,Everest Base Camp Trek,"NPR 1,94,300",16 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
371,Everest Kalapathar Trekking,"NPR 1,86,260",15 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
372,Everest Panorama Trek,"NPR 1,39,360",10 Days,Moderate,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
373,Everest Base Camp Trek via Gokyo Lake,"NPR 2,05,020",19 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
374,Gokyo Lake Trek,"NPR 1,59,460",13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
375,Everest Base Camp Heli Trek,"NPR 4,82,400",9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
376,Annapurna Circuit Trek,"NPR 3,08,200",19 Days,Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
377,Annapurna Base Camp Trek,"NPR 1,46,060",16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
378,Ghorepani Poon Hill Trek,"NPR 61,640",10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
379,Upper Mustang Trek,"NPR 2,81,400",17 Days,Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
380,Mardi Himal Trek,"NPR 79,060",9 Days,Easy,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
381,Langtang Valley Trekking,"NPR 92,460",11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
382,Manaslu Circuit Trek,"NPR 1,59,400",17 Days,Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
